;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;(BE);;;;;;;;;;;;
;;;;;;;;;;;(HC);[AG];(FC);;;;;;;;;;;
;;;;;;;;;;(CG);[BE];[HD];[HD];(FC);;;;;;;;;;
;;;;;;;(BF);(DC);(HC);(DF);[EH];[FC];[GC];(AE);(CH);(FG);(BE);;;;;;;
;;;;;;;(ED);[EH];[AC];[EH];(BF);[FC];(BH);[AE];[GC];[FC];(BF);;;;;;;
;;;;;;;;(GB);[GC];[GB];(DF);[FC];(GC);[GC];[BE];(FC);;;;;;;;
;;;;;;;;;(CF);77/88;[EA];[CH];[EG];34/72;(HA);;;;;;;;;
;;;;;;;;;(ED);[EF];[BF];[CH];[HF];[HD];(BF);;;;;;;;;
;;;;;;;;(DC);[BG];[HD];(CD);(CG);(HA);[AC];[BE];(BF);;;;;;;;
;;;;;;;;(BD);[CH];(EH);∈;∈;∈;(ED);[BG];(GA);;;;;;;;
;;;;;;;;;(DC);31/29;83/37;93/17;57/2;65/45;(DC);;;;;;;;;
;;;;;;;;(GB);∈;;25/25;∈;∈;∈;55/1;(HC);;;;;;;;
;;;;;;;(CG);35/13;99/98;87/87;16/16;94/39;57/2;95/91;∈;∈;(BE);;;;;;;
;;;;;;(BH);∈;∈;∈;∈;∈;74/56;59/57;;6;88/68;95/91;(FC);;;;;;
;;;;;(BC);∈;100/98;;[BH);66/62;94/39;84/41;100/87;76;90;∈;∈;31/29;(BC);;;;;
;;;;;;(d);(FA);[DF);[DG);55/24;∈;∈;∈;99/95;78/72;100/97;(BH);(FH);;;;;;
;;;;;;;(DC);74/56;∈;∈;;25;88/68;∈;∈;∈;(CH);;;;;;;
;;;;;;(DA);∈;∈;86/7;35/32;5;55;70/12;;[FH);46/15;86/41;(EH);;;;;;
;;;;;(CG);∈;;86;65/64;∈;∈;∈;∈;[EH);[CB);46/15;99/95;∈;(HC);;;;;
;;;;(GB);∈;100/97;11;13;88/70;76/4;78/72;59/57;89/84;74/56;92/11;∈;∈;;2/2;(AB);;;;
;;;(BH);∈;∈;83/37;∈;∈;(GB);(DC);(GA);(FG);(BF);(BC);(EC);41/37;69/60;60/60;66/66;93/17;(GC);;;
;;;;(HG);(FG);(DF);(CD);(HA);6235;9854;(DH);8825;(DF);8765;6552;(GB);(EC);(FH);(BF);(AB);;;;
;;;;;;;(AF);7814;5745;9784;(BE);8469;(DA);6926;9585;6235;(EF);;;;;;;
;;;;;;;(FG);8765;478;758;4436;9014;4658;403;896;5375;(DH);;;;;;;
;;;;;;;;(HC);4436;9585;4436;3922;4658;8825;5745;(DH);;;;;;;;
;;;;;;;;;(FC);(FG);(CG);(GB);(FG);(EH);(FA);;;;;;;;;
